Kanji Frequency Count,Unique Word Count,Kanji,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6
189687,72,兵,兵,兵衛,兵士,兵隊,兵器,兵力
188177,59,馬,馬,馬鹿,馬車,競馬,有馬,騎馬
187799,29,指,指,指揮,指示,指さす,指先,指す
185363,34,決,決して,決める,決まる,解決,決心,決定
184100,47,受,受ける,受け取る,受話器,受け入れる,引き受ける,受けとる
184013,24,眼,眼,眼鏡,眼前,眼差し,眼下,眼球
183280,39,好,好き,格好,好奇,好む,恰好,好意
183116,46,起,起きる,起こる,起こす,起る,起す,起き上がる
182568,31,残,残る,残す,残念,残り,残酷,生き残る
181956,8,姿,姿,姿勢,後ろ姿,容姿,うしろ姿,後姿
181116,39,王,王,王子,女王,国王,王女,王国
180876,41,調,調べる,口調,調子,調査,調べ,強調
179269,31,呼,呼ぶ,呼吸,呼びかける,呼び出す,深呼吸,呼び出し
178788,31,初,最初,初めて,初め,初,当初,初期
178171,41,解,理解,解決,解く,解放,解る,解釈
177158,51,御,御,御用,御前,制御,御座る,御殿
176456,10,七,七,七月,七つ,佐七,七瀬,七郎
175590,97,平,平,平気,平和,平凡,平均,水平
175317,94,原,原因,原,原稿,原田,藤原,吉原
174170,48,飛,飛ぶ,飛び出す,飛行機,飛ばす,飛び込む,飛
173974,40,早,早い,素早い,早速,早苗,早々,早
173020,64,流,流れる,流す,流れ,流,流行,一流
172019,18,確,確か,確認,確かめる,正確,確信,確実
172012,24,終,終わる,終る,終える,最終,終り,終了
171362,31,息,息,息子,ため息,溜息,吐息,消息
170930,58,安,不安,安心,安全,安い,安,安堵
170700,37,若,若い,若者,若,若だんな,若旦那,若林
170336,52,突,突然,突く,突っ込む,突き出す,突き,唐突
169932,49,乗,乗る,乗せる,名乗る,乗り出す,乗り込む,乗客
168220,57,定,予定,否定,決定,定める,勘定,固定
167965,60,海,海,海軍,海岸,北海道,海外,航海
166568,10,第,第,次第に,次第,第三者,第一線,第一歩
165793,40,由,理由,自由,由,美由紀,不自由,由乃
165733,32,首,首,手首,首相,首筋,首都,足首
165651,49,東,東京,東,東洋,関東,東北,東西
164492,61,村,村,中村,村上,村人,木村,村長
163639,47,愛,愛,愛す,可愛い,愛情,恋愛,愛する
162701,23,界,世界,界,視界,限界,世界中,業界
162694,22,警,警察,警部,警官,警戒,警備,警視
161792,15,答,答える,答え,返答,答,応答,問答
161705,27,字,字,文字,数字,太字,十字架,文字通り
161640,53,助,助,助ける,助かる,助け,助手,長助
161542,22,置,置く,位置,装置,処置,配置,放置
161380,39,室,室,教室,寝室,室内,病室,一室
160958,24,説,説明,小説,説,伝説,説得,説く
160132,42,半,半,半分,半ば,時半,半年,大半
159628,12,九,九,九月,九州,九郎,九つ,北九州
159133,36,語,語る,語,物語,英語,日本語,言語
157783,30,覚,覚える,感覚,覚悟,自覚,覚める,覚ます
157242,25,続,続ける,続く,連続,手続き,続き,相続
156131,12,必,必要,必ず,必死,必ずしも,必然,必殺
155917,27,想,想像,予想,思想,理想,愛想,妄想
154887,47,黒,黒い,黒,暗黒,黒人,黒髪,黒田
154146,30,朝,朝,今朝,朝鮮,朝食,朝倉,翌朝
153635,16,他,他,他人,その他,他者,他国,他方
153586,40,遠,遠い,遠く,遠坂,遠慮,永遠,遠野
153468,30,配,心配,気配,支配,配る,配置,手配
153123,39,振,振る,振り返る,振り向く,振り,振り回す,振動
152835,41,張,張る,緊張,主張,張,引っ張る,見張る
152686,21,背,背,背中,背後,背負う,背景,背筋
152077,23,両,両,両手,両親,両方,両側,両者
151786,31,記,記憶,記録,記者,記事,記す,日記
151421,29,得,得る,納得,得意,説得,心得る,得
150468,26,運,運ぶ,運転,運命,運動,運,幸運
147549,28,在,存在,現在,滞在,在る,所在,実在
146815,61,石,石,宝石,石川,大石,石段,明石
146715,59,法,方法,法,魔法,法律,法則,魔法使い
146566,28,隊,隊,部隊,艦隊,隊長,兵隊,軍隊
146395,29,視,視線,無視,視界,監視,警視,警視庁
146179,8,件,事件,件,条件,用件,無条件,物件
146000,36,員,員,全員,委員,社員,隊員,職員
145608,42,苦,苦しい,苦笑,苦労,苦痛,苦しむ,苦しみ
144793,38,化,化,変化,文化,化粧,化す,化学
144739,49,付,付き,気付く,付く,付ける,付近,付
144603,28,能,可能,能力,不可能,才能,機能,本能
143487,11,百,百,百姓,百合子,八百屋,百済,百貨店
142423,13,供,子供,提供,供,お供,供給,供述
142214,41,進,進む,進める,進,前進,進行,突進
141737,42,元,元,元気,足元,口元,地元,次元
141183,42,楽,楽しい,音楽,楽,楽しむ,楽しみ,快楽
141003,46,成,成功,完成,成長,構成,成立,成る
140678,46,業,作業,卒業,授業,職業,企業,業
139938,24,店,店,喫茶店,商店,店員,支店,店内
139533,18,始,始める,始まる,開始,始末,始め,原始
138643,28,過,過ぎる,過去,過ごす,通過,経過,過ぎ
138390,38,急,急,急ぐ,急速,救急,緊急,大急ぎ
138335,38,居,居る,芝居,居間,居,隠居,住居
138193,38,線,視線,線,無線,線路,光線,戦線
138120,14,戻,戻る,戻す,取り戻す,戻れる,引き戻す,連れ戻す
137400,33,番,一番,番,番号,番頭,番目,番組
136485,30,走,走る,走り出す,走り,暴走,小走り,走り去る
136276,35,消,消える,消す,消滅,消息,消費,消え去る
135952,34,失,失う,失礼,失敗,失望,失踪,喪失
135644,57,門,門,専門,衛門,左衛門,長門,門番
135494,37,集,集まる,集める,編集,集中,集団,集
134255,38,深,深い,深夜,深刻,深々,深川,注意深い
133814,42,形,形,人形,形式,形成,形態,形相
131691,34,撃,攻撃,撃つ,衝撃,目撃,一撃,襲撃
131680,53,衛,兵衛,衛門,左衛門,衛,近衛,護衛
131268,54,和,昭和,平和,和,大和,和穂,和哉
131204,33,伝,伝える,伝わる,手伝う,宣伝,伝説,伝
130576,39,反,反対,反応,反射,反,反省,反論
130559,31,止,止める,止まる,立ち止まる,停止,禁止,止む
128982,33,青,青年,青い,青,青白い,青ざめる,青木
128834,38,横,横,横たわる,横顔,横浜,横切る,横目
128760,63,井,天井,亀井,井上,井戸,井,白井
128480,32,赤,赤い,赤,赤ん坊,真っ赤,赤坂,赤ちゃん
128169,5,娘,娘,小娘,孫娘,一人娘,生娘,
127988,63,打,打つ,打ち明ける,舌打ち,打,打撃,打ち込む
127881,24,離,離れる,距離,離す,離婚,離れ,離
126974,71,島,島,三島,広島,島田,田島,中島
126643,26,達,達,友達,達す,達する,到達,人達
126163,17,題,問題,話題,放題,課題,題,主題
126109,39,千,千,千代,千鶴,千葉,八千代,千晶
125805,42,放,放つ,解放,放送,放す,放る,放り出す
125316,41,加,加える,加藤,参加,加わる,加,つけ加える
124939,48,火,火,火事,火星,火花,花火,火薬
124884,24,右,右,右手,左右,右側,右腕,右足
124166,20,魔,魔術,魔法,邪魔,魔,悪魔,魔力
124021,28,存,存在,存じる,ご存じ,ご存知,保存,生存
123746,37,老,老人,老,老婆,家老,長老,老女
123731,23,経,経験,神経,経つ,経済,経営,経過
123622,33,師,師,教師,医師,師匠,師団,牧師
123554,30,広,広い,広がる,広げる,広場,広告,広間
123151,54,土,土地,土,土曜日,土間,土産,土手
122896,41,追,追う,追いかける,追って,追いつく,追い出す,追放
122642,20,恐,恐怖,恐ろしい,恐れる,恐らく,恐い,恐れ
122613,45,戸,江戸,戸,戸口,井戸,木戸,戸惑う
122330,49,公,公,公園,公爵,主人公,奉公,公衆
122043,36,台,台,舞台,台所,寝台,台詞,台湾
121605,22,校,学校,高校,小学校,将校,校長,高校生
121536,28,左,左,左右,左手,左衛門,左側,左様
121174,22,奥,奥,奥さん,奥さま,奥様,奥方,奥深い
120941,21,状,状態,状況,状,白状,現状,症状
120590,9,階,階,階段,段階,階級,階下,最上階
120478,21,万,万,万一,万事,万が一,万里,万全
120431,17,態,状態,態度,事態,態勢,形態,態
120221,29,常,非常,異常,常に,日常,常識,常
120122,20,側,側,内側,両側,右側,左側,外側
120000,42,船,船,船長,宇宙船,船頭,船体,船員
119529,23,申,申す,申し上げる,申し訳,申しあげる,申,申しわけ
119466,72,吉,吉,秀吉,吉田,不吉,吉原,吉川
119290,44,断,判断,断る,油断,断言,断わる,決断
119213,33,勝,勝手,勝つ,勝,勝負,勝利,勝ち
